yearRequest,monthRequest,dateRequest,yearClosed,monthClosed,dateClosed,srvrequestid,caseagedays,status,servicename,latitude,longitude,district
2021,Feb,2021-02-25,2021,Feb,2021-02-25,3256599,0,Closed,Pothole,32.7702568,-117.08361,9
2021,Feb,2021-02-25,2021,Mar,2021-03-03,3256628,6,Closed,Pothole,32.7511036,-117.09984,9
2021,Feb,2021-02-25,,,,3256646,31,In Process,Pothole,32.6913451,-117.12535,8
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256688,1,Closed,Pothole,32.8236093,-117.15726,6
2021,Feb,2021-02-25,2021,Mar,2021-03-02,3256699,5,Closed,Pothole,32.8170953,-117.18085,6
2021,Feb,2021-02-25,,,,3256721,31,In Process,Pothole,32.556308,-116.96047,8
2021,Feb,2021-02-25,,,,3256725,31,In Process,Pothole,33.0484061,-117.04896,5
2021,Feb,2021-02-25,2021,Mar,2021-03-08,3256737,11,Closed,Pothole,32.7959097,-117.02786,7
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256752,1,Closed,Pothole,32.7114857,-117.11655,9
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256758,1,Closed,Pothole,32.5606224,-116.96337,8
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256770,1,Closed,Pothole,32.8449851,-117.24198,1
2021,Feb,2021-02-25,,,,3256790,31,In Process,Pothole,32.5803058,-117.09429,8
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256853,1,Closed,Pothole,32.7419927,-117.18326,2
2021,Feb,2021-02-25,2021,Mar,2021-03-16,3256864,19,Closed,Pothole,32.7497709,-117.15634,3
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256865,1,Closed,Pothole,32.7499931,-117.16039,3
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256870,1,Closed,Pothole,32.7484214,-117.14373,3
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256888,1,Closed,Pothole,32.848142,-117.24734,1
2021,Feb,2021-02-25,2021,Mar,2021-03-22,3256906,25,Closed,Pothole,32.8643246,-117.23551,1
2021,Feb,2021-02-25,2021,Feb,2021-02-25,3256930,0,Closed,Pothole,32.7894451,-117.09726,7
2021,Feb,2021-02-25,,,,3256944,31,In Process,Pothole,32.9139186,-117.13278,6
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256947,1,Closed,Pothole,32.9133649,-117.14383,6
2021,Feb,2021-02-25,2021,Mar,2021-03-26,3256984,29,Closed,Pothole,32.8823387,-117.15637,6
2021,Feb,2021-02-25,2021,Mar,2021-03-08,3256989,11,Closed,Pothole,32.7555931,-117.2073,2
2021,Feb,2021-02-25,2021,Mar,2021-03-02,3256994,5,Closed,Pothole,32.8721685,-117.22877,1
